,Name,State,Pop_Group,Year, Pop 
393,Palm Coast-Daytona Bch-Port Orange FL,FL,Oth,2017,  388 
393,Panama City FL,FL,Oth,2017,  159 
393,Parkersburg WV-OH,WV,Oth,2017,  69 
393,Pascagoula MS,MS,Oth,2017,  50 
393,Peoria IL,IL,Oth,2017,  271 
393,Petaluma CA,CA,Oth,2017,  67 
393,Pine Bluff AR,AR,Oth,2017,  56 
393,Pittsfield MA,MA,Oth,2017,  60 
393,Pocatello ID,ID,Oth,2017,  72 
393,Ponce PR,PR,Oth,2017,  128 
393,Port Arthur TX,TX,Oth,2017,  153 
393,Port Huron MI,MI,Oth,2017,  87 
393,Port St. Lucie FL,FL,Oth,2017,  423 
393,Porterville CA,CA,Oth,2017,  72 
393,Portland ME,ME,Oth,2017,  212 
393,Portsmouth NH-ME,NH,Oth,2017,  122 
393,Pottstown PA,PA,Oth,2017,  115 
393,Prescott Valley-Prescott AZ,AZ,Oth,2017,  95 
393,Pueblo CO,CO,Oth,2017,  142 
393,Racine WI,WI,Oth,2017,  135 
393,Rapid City SD,SD,Oth,2017,  91 
393,Reading PA,PA,Oth,2017,  274 
393,Redding CA,CA,Oth,2017,  122 
393,Reno NV-CA,NV,Oth,2017,  428 
393,Roanoke VA,VA,Oth,2017,  217 
393,Rochester MN,MN,Oth,2017,  117 
393,Rock Hill SC,SC,Oth,2017,  117 
393,Rockford IL,IL,Oth,2017,  302 
393,Rocky Mount NC,NC,Oth,2017,  71 
393,Rome GA,GA,Oth,2017,  63 
393,Round Lake Bch-McHenry-Grayslake IL-WI,WI,Oth,2017,  297 
393,Saginaw MI,MI,Oth,2017,  125 
393,Salinas CA,CA,Oth,2017,  190 
393,Salisbury MD-DE,MD,Oth,2017,  104 
393,San Angelo TX,TX,Oth,2017,  98 
393,San German-Cabo Rojo-Sabana Gra PR,PR,Oth,2017,  117 
393,San Luis Obispo CA,CA,Oth,2017,  62 
393,San Marcos TX,TX,Oth,2017,  72 
393,Santa Barbara CA,CA,Oth,2017,  206 
393,Santa Clarita CA,CA,Oth,2017,  270 
393,Santa Cruz CA,CA,Oth,2017,  175 
393,Santa Fe NM,NM,Oth,2017,  92 
393,Santa Maria CA,CA,Oth,2017,  140 
393,Santa Rosa CA,CA,Oth,2017,  316 
393,Saratoga Springs NY,NY,Oth,2017,  71 
393,Savannah GA,GA,Oth,2017,  283 
393,Scranton PA,PA,Oth,2017,  388 
393,Seaside-Monterey CA,CA,Oth,2017,  123 
393,Sebastian-Vero Bch S-Florida Ridge FL,FL,Oth,2017,  150 
393,Sebring-Avon Park FL,FL,Oth,2017,  62 
393,Sheboygan WI,WI,Oth,2017,  72 
393,Sherman TX,TX,Oth,2017,  69 
393,Shreveport LA,LA,Oth,2017,  305 
393,Sierra Vista AZ,AZ,Oth,2017,  53 
393,Simi Valley CA,CA,Oth,2017,  129 
393,Sioux City IA-NE-SD,IA,Oth,2017,  109 
393,Sioux Falls SD,SD,Oth,2017,  174 
393,Slidell LA,LA,Oth,2017,  94 
393,South Bend IN-MI,IN,Oth,2017,  280 
393,South Lyon-Howell MI,MI,Oth,2017,  127 
393,Spartanburg SC,SC,Oth,2017,  197 
393,Spring Hill FL,FL,Oth,2017,  148 
393,Springfield IL,IL,Oth,2017,  163 
393,Springfield MO,MO,Oth,2017,  290 
393,Springfield OH,OH,Oth,2017,  86 
393,St. Augustine FL,FL,Oth,2017,  78 
393,St. Cloud MN,MN,Oth,2017,  115 
393,St. George UT,UT,Oth,2017,  108 
393,St. Joseph MO-KS,MO,Oth,2017,  82 
393,State College PA,PA,Oth,2017,  92 
393,Staunton-Waynesboro VA,VA,Oth,2017,  57 
393,Sumter SC,SC,Oth,2017,  75 
393,Syracuse NY,NY,Oth,2017,  425 
393,Tallahassee FL,FL,Oth,2017,  256 
393,Temple TX,TX,Oth,2017,  103 
393,Terre Haute IN,IN,Oth,2017,  94 
393,Texarkana TX-AR,TX,Oth,2017,  85 
393,Texas City TX,TX,Oth,2017,  118 
393,Thousand Oaks CA,CA,Oth,2017,  224 
393,Titusville FL,FL,Oth,2017,  55 
393,Topeka KS,KS,Oth,2017,  151 
393,Tracy CA,CA,Oth,2017,  97 
393,Trenton NJ,NJ,Oth,2017,  300 
393,Turlock CA,CA,Oth,2017,  109 
393,Tuscaloosa AL,AL,Oth,2017,  150 
393,Twin Rivers-Highstown NJ,NJ,Oth,2017,  65 
393,Tyler TX,TX,Oth,2017,  146 
393,Uniontown-Connellsville PA,PA,Oth,2017,  50 
393,Utica NY,NY,Oth,2017,  119 
393,Vacaville CA,CA,Oth,2017,  97 
393,Valdosta GA,GA,Oth,2017,  80 
393,Vallejo CA,CA,Oth,2017,  178 
393,Victoria TX,TX,Oth,2017,  69 
393,Victorville-Hesperia CA,CA,Oth,2017,  347 
393,Villas NJ,NJ,Oth,2017,  50 
393,Vineland NJ,NJ,Oth,2017,  95 
393,Visalia CA,CA,Oth,2017,  231 
393,Waco TX,TX,Oth,2017,  186 
393,Waldorf MD,MD,Oth,2017,  120 
393,Walla Walla-WA-OR,WA,Oth,2017,  56 
393,Warner Robins GA,GA,Oth,2017,  146 
393,Waterbury CT,CT,Oth,2017,  193 
393,Waterloo IA,IA,Oth,2017,  116 
393,Watertown NY,NY,Oth,2017,  57 
393,Watsonville CA,CA,Oth,2017,  75 
393,Wausau WI,WI,Oth,2017,  78 
393,Weirton-Steubenville WV-OH-PA,WV,Oth,2017,  73 
393,Wenatchee WA,WA,Oth,2017,  73 
393,West Bend WI,WI,Oth,2017,  70 
393,Westminster-Eldersburg MD,MD,Oth,2017,  75 
393,Wheeling WV-OH,WV,Oth,2017,  101 
393,Wichita Falls TX,TX,Oth,2017,  100 
393,Williamsburg VA,VA,Oth,2017,  85 
393,Williamsport PA,PA,Oth,2017,  56 
393,Wilmington NC,NC,Oth,2017,  241 
393,Winchester VA,VA,Oth,2017,  71 
393,Winter Haven FL,FL,Oth,2017,  209 
393,Woodland CA,CA,Oth,2017,  58 
393,Yakima WA,WA,Oth,2017,  137 
393,Yauco PR,PR,Oth,2017,  75 
393,York PA,PA,Oth,2017,  239 
393,Youngstown OH-PA,OH,Oth,2017,  394 
393,Yuba City CA,CA,Oth,2017,  125 
393,Yuma AZ-CA,AZ,Oth,2017,  139 
393,Zephyrhills FL,FL,Oth,2017,  74 
